index,yield
1950-01-01,2.22
1950-02-01,2.23
1950-03-01,2.22
1950-04-01,2.2
1950-05-01,2.09
1950-06-01,1.97
1950-07-01,2.03
1950-08-01,1.98
1950-09-01,1.94
1950-10-01,1.79
1950-11-01,1.74
1950-12-01,1.86
1951-01-01,1.78
1951-02-01,1.72
1951-03-01,1.79
1951-04-01,1.82
1951-05-01,1.89
1951-06-01,1.99
1951-07-01,1.89
1951-08-01,1.83
1951-09-01,1.71
1951-10-01,1.7
1951-11-01,1.97
1951-12-01,2.21
1952-01-01,2.36
1952-02-01,2.41
1952-03-01,2.92
1952-04-01,3.15
1952-05-01,3.26
1952-06-01,3.51
1952-07-01,3.48
1952-08-01,3.16
1952-09-01,3.01
1952-10-01,2.97
1952-11-01,2.88
1952-12-01,2.91
1953-01-01,3.45
1953-02-01,3.29
1953-03-01,3.17
1953-04-01,3.09
1953-05-01,3.02
1953-06-01,2.99
1953-07-01,2.97
1953-08-01,2.94
1953-09-01,2.84
1953-10-01,2.85
1953-11-01,2.86
1953-12-01,2.89
1954-01-01,2.93
1954-02-01,2.93
1954-03-01,2.87
1954-04-01,2.82
1954-05-01,2.63
1954-06-01,2.33
1954-07-01,2.22
1954-08-01,2.15
1954-09-01,2.28
1954-10-01,2.28
1954-11-01,2.06
1954-12-01,2.54
1955-01-01,2.29
1955-02-01,2.66
1955-03-01,3.03
1955-04-01,3.17
1955-05-01,3.83
1955-06-01,3.99
1955-07-01,4.11
1955-08-01,4.51
1955-09-01,4.66
1955-10-01,4.37
1955-11-01,4.45
1955-12-01,4.58
1956-01-01,4.58
1956-02-01,4.76
1956-03-01,4.89
1956-04-01,4.65
1956-05-01,4.51
1956-06-01,4.65
1956-07-01,4.52
1956-08-01,4.52
1956-09-01,4.57
1956-10-01,4.65
1956-11-01,4.74
1956-12-01,5.1
1957-01-01,5
1957-02-01,4.74
1957-03-01,4.79
1957-04-01,4.83
1957-05-01,4.8
1957-06-01,4.83
1957-07-01,4.77
1957-08-01,4.8
1957-09-01,5.38
1957-10-01,6.18
1957-11-01,6.02
1957-12-01,5.91
1958-01-01,5.66
1958-02-01,5.42
1958-03-01,5.06
1958-04-01,4.7
1958-05-01,4.73
1958-06-01,4.64
1958-07-01,4.62
1958-08-01,4.48
1958-09-01,4.43
1958-10-01,4.33
1958-11-01,4.32
1958-12-01,4.3
1959-01-01,4.26
1959-02-01,4.02
1959-03-01,4.06
1959-04-01,4.08
1959-05-01,4.09
1959-06-01,4.14
1959-07-01,4.15
1959-08-01,4.2
1959-09-01,4.3
1959-10-01,4.26
1959-11-01,4.15
1959-12-01,4.27
1960-01-01,4.69
1960-02-01,4.72
1960-03-01,4.92
1960-04-01,5.1
1960-05-01,5.2
1960-06-01,5.56
1960-07-01,6.08
1960-08-01,6.13
1960-09-01,6.09
1960-10-01,5.99
1960-11-01,5.58
1960-12-01,5.59
1961-01-01,5.42
1961-02-01,5.3
1961-03-01,5.44
1961-04-01,5.32
1961-05-01,5.21
1961-06-01,5.47
1961-07-01,5.96
1961-08-01,6.5
1961-09-01,6.48
1961-10-01,6
1961-11-01,5.83
1961-12-01,5.91
1962-01-01,5.98
1962-02-01,5.91
1962-03-01,5.64
1962-04-01,5.49
1962-05-01,5.43
1962-06-01,5.33
1962-07-01,5.22
1962-08-01,5.03
1962-09-01,4.74
1962-10-01,4.55
1962-11-01,4.68
1962-12-01,4.53
1963-01-01,4.67
1963-02-01,4.81
1963-03-01,4.98
1963-04-01,5
1963-05-01,4.94
1963-06-01,4.84
1963-07-01,4.76
1963-08-01,4.67
1963-09-01,4.51
1963-10-01,4.42
1963-11-01,4.53
1963-12-01,4.7
1964-01-01,4.75
1964-02-01,4.9
1964-03-01,5.06
1964-04-01,4.99
1964-05-01,4.96
1964-06-01,5.03
1964-07-01,5.22
1964-08-01,5.47
1964-09-01,5.45
1964-10-01,5.48
1964-11-01,5.57
1964-12-01,6.33
1965-01-01,6.67
1965-02-01,6.52
1965-03-01,6.6
1965-04-01,6.78
1965-05-01,6.79
1965-06-01,6.83
1965-07-01,6.91
1965-08-01,6.93
1965-09-01,6.65
1965-10-01,6.53
1965-11-01,6.5
1965-12-01,6.69
1966-01-01,6.58
1966-02-01,6.42
1966-03-01,6.79
1966-04-01,6.82
1966-05-01,6.76
1966-06-01,6.88
1966-07-01,7.22
1966-08-01,7.41
1966-09-01,7.27
1966-10-01,7.03
1966-11-01,7.09
1966-12-01,7.18
1967-01-01,6.69
1967-02-01,6.5
1967-03-01,6.46
1967-04-01,6.35
1967-05-01,6.31
1967-06-01,6.41
1967-07-01,6.6
1967-08-01,6.57
1967-09-01,6.59
1967-10-01,6.8
1967-11-01,7.16
1967-12-01,7.51
1968-01-01,7.52
1968-02-01,7.4
1968-03-01,7.48
1968-04-01,7.42
1968-05-01,7.53
1968-06-01,7.75
1968-07-01,7.8
1968-08-01,7.63
1968-09-01,7.51
1968-10-01,7.49
1968-11-01,7.64
1968-12-01,7.92
1969-01-01,8.1
1969-02-01,8.18
1969-03-01,8.52
1969-04-01,8.56
1969-05-01,9
1969-06-01,9.34
1969-07-01,9.04
1969-08-01,9.08
1969-09-01,9.14
1969-10-01,8.99
1969-11-01,8.96
1969-12-01,8.86
1970-01-01,8.79
1970-02-01,8.62
1970-03-01,8.29
1970-04-01,8.05
1970-05-01,8
1970-06-01,7.89
1970-07-01,7.48
1970-08-01,7.31
1970-09-01,7.42
1970-10-01,7.51
1970-11-01,7.71
1970-12-01,7.99
