index,temperature
1,153
2,145
3,142
4,145
5,175
6,170
7,159
8,173
9,140
10,136
11,185
12,173
13,155
14,150
15,148
16,157
17,140
18,133
19,165
20,178
21,149
22,141
23,166
24,166
25,134
26,137
27,146
28,152
29,135
30,141
31,137
32,151
33,182
34,148
35,129
36,138
37,149
38,161
39,144
40,145
41,150
42,143
43,156
44,159
45,169
46,174
47,141
48,133
49,160
50,168
51,159
52,156
53,159
54,139
55,148
56,158
57,168
58,173
59,149
60,142
61,165
62,161
63,162
64,162
65,163
66,147
67,150
68,138
69,158
70,153
71,148
72,137
73,155
74,137
75,140
76,156
77,158
78,155
79,147
80,141
81,138
82,145
83,162
84,167
85,149
86,143
87,152
88,133
89,128
90,138
91,157
92,170
93,133
94,135
95,170
96,160
97,120
98,134
99,128
100,138
