year,week,clostridium,rsv,rotavirus,salmonella
1996,27,201,7,155,132
1996,28,177,2,118,107
1996,29,168,1,90,106
1996,30,183,3,79,117
1996,31,198,3,70,96
1996,32,196,2,49,131
1996,33,206,3,61,117
1996,34,215,4,36,140
1996,35,184,3,30,94
1996,36,194,4,24,135
1996,37,220,6,34,137
1996,38,203,12,27,101
1996,39,224,6,41,87
1996,40,214,13,45,95
1996,41,236,18,45,82
1996,42,234,36,56,71
1996,43,228,44,59,67
1996,44,217,76,50,77
1996,45,211,99,31,65
1996,46,219,163,32,58
1996,47,237,354,57,50
1996,48,219,519,83,64
1996,49,261,759,83,45
1996,50,203,983,91,67
1996,51,224,1220,124,49
1996,52,173,833,84,25
1997,1,234,885,102,57
1997,2,327,602,142,43
1997,3,395,365,229,51
1997,4,429,437,330,44
1997,5,474,515,440,38
1997,6,464,439,559,30
1997,7,446,315,587,43
1997,8,379,278,674,43
1997,9,388,208,618,45
1997,10,389,137,778,40
1997,11,389,98,921,35
1997,12,325,73,771,56
1997,13,274,61,679,35
1997,14,299,49,571,33
1997,15,310,31,699,41
1997,16,287,23,718,50
1997,17,278,18,844,50
1997,18,249,10,761,66
1997,19,261,15,569,56
1997,20,280,10,538,67
1997,21,293,7,405,84
1997,22,260,16,291,77
1997,23,271,12,337,93
1997,24,252,5,267,101
1997,25,267,9,208,82
1997,26,287,6,174,166
1997,27,284,11,134,118
1997,28,273,13,124,77
1997,29,281,4,89,84
1997,30,285,7,82,68
1997,31,310,5,80,93
1997,32,306,13,72,81
1997,33,289,4,43,79
1997,34,303,5,21,94
1997,35,255,9,26,82
1997,36,267,8,30,89
1997,37,259,8,29,99
1997,38,248,13,40,62
1997,39,279,28,39,69
1997,40,266,42,40,62
1997,41,264,61,56,58
1997,42,267,100,47,65
1997,43,240,188,39,48
1997,44,222,288,48,50
1997,45,302,399,69,49
1997,46,323,524,70,43
1997,47,354,818,79,38
1997,48,312,1061,76,40
1997,49,324,1248,88,45
1997,50,315,1306,96,32
1997,51,292,1186,115,29
1997,52,207,860,95,30
1998,1,337,884,116,58
1998,2,366,484,158,53
1998,3,346,289,164,39
1998,4,371,205,228,20
1998,5,328,136,294,32
1998,6,355,130,452,29
1998,7,347,103,503,27
1998,8,303,59,446,28
1998,9,398,48,479,28
1998,10,391,43,645,25
1998,11,365,29,634,20
1998,12,394,28,847,19
1998,13,348,20,877,25
1998,14,396,28,875,24
1998,15,309,25,593,21
1998,16,341,18,520,22
1998,17,412,32,768,31
1998,18,442,23,617,41
1998,19,340,7,445,26
1998,20,334,16,441,26
1998,21,343,14,387,40
1998,22,290,11,370,39
1998,23,356,7,447,31
1998,24,336,11,271,37
1998,25,330,9,261,32
1998,26,292,8,192,54
1998,27,299,7,145,63
1998,28,340,11,131,55
1998,29,341,10,120,57
1998,30,308,12,113,66
1998,31,313,8,84,50
1998,32,293,14,83,60
1998,33,278,11,75,60
1998,34,307,10,100,47
1998,35,269,10,94,58
1998,36,277,14,101,69
1998,37,331,19,77,109
1998,38,309,12,58,85
1998,39,290,31,67,49
1998,40,332,30,57,60
1998,41,282,70,54,44
1998,42,308,90,72,56
1998,43,295,162,98,33
1998,44,291,223,69,33
1998,45,318,321,92,37
1998,46,318,442,84,21
1998,47,286,626,123,27
1998,48,329,1016,170,26
1998,49,305,1223,169,18
1998,50,312,1197,211,21
1998,51,321,1110,192,17
1998,52,312,819,139,11
1999,1,552,513,219,23
1999,2,529,266,254,14
1999,3,578,225,354,18
1999,4,565,198,470,16
1999,5,515,164,498,12
1999,6,445,126,636,12
1999,7,470,113,821,12
1999,8,419,107,859,14
1999,9,447,52,1028,12
1999,10,440,67,1043,14
1999,11,458,42,1078,9
1999,12,357,59,1077,11
1999,13,316,35,767,26
1999,14,356,26,571,13
1999,15,332,26,580,29
1999,16,354,12,565,17
1999,17,305,27,483,12
1999,18,341,15,318,11
1999,19,317,15,326,19
1999,20,293,8,240,23
1999,21,295,19,230,25
1999,22,315,13,171,11
1999,23,349,7,142,30
1999,24,344,4,160,18
1999,25,321,14,139,24
1999,26,316,13,113,22
1999,27,353,14,110,21
1999,28,373,6,76,34
1999,29,321,6,65,32
1999,30,345,11,50,21
1999,31,347,3,47,41
1999,32,312,12,38,43
1999,33,305,7,50,35
1999,34,317,9,40,32
1999,35,283,14,42,38
1999,36,340,21,45,40
1999,37,361,12,47,29
1999,38,299,26,35,28
1999,39,347,38,48,28
1999,40,303,65,45,26
1999,41,304,89,41,25
1999,42,294,155,47,18
1999,43,268,242,58,12
1999,44,318,423,45,19
1999,45,350,535,63,14
1999,46,334,712,76,22
1999,47,321,1129,95,10
1999,48,324,1169,109,9
