index,production
1990-01-01,89.3
1990-04-01,90.6
1990-07-01,89.1
1990-10-01,88.3
1991-01-01,87.2
1991-04-01,86.2
1991-07-01,85.5
1991-10-01,86.4
1992-01-01,86.4
1992-04-01,85.9
1992-07-01,86.8
1992-10-01,87.3
1993-01-01,87.5
1993-04-01,87.8
1993-07-01,88.7
1993-10-01,89.9
1994-01-01,91.2
1994-04-01,93.1
1994-07-01,93.8
1994-10-01,95
1995-01-01,94
1995-04-01,94.8
1995-07-01,95.3
1995-10-01,95.6
1996-01-01,96.2
1996-04-01,95.6
1996-07-01,96
1996-10-01,97
1997-01-01,97.3
1997-04-01,97.3
1997-07-01,97.9
1997-10-01,97.7
1998-01-01,98.5
1998-04-01,98.8
1998-07-01,98.6
1998-10-01,98.2
1999-01-01,98.7
1999-04-01,99.1
1999-07-01,100.4
1999-10-01,100.7
2000-01-01,101.2
2000-04-01,101.8
2000-07-01,101.5
2000-10-01,101.9
2001-01-01,101.9
2001-04-01,100.3
2001-07-01,99.9
2001-10-01,97.9
2002-01-01,97.8
2002-04-01,97.6
2002-07-01,97.4
2002-10-01,97.1
2003-01-01,97.2
2003-04-01,96.9
2003-07-01,97.4
2003-10-01,97.9
2004-01-01,97.5
2004-04-01,98.7
2004-07-01,97.5
2004-10-01,97.4
2005-01-01,96.7
